truth	estimates	95HPDlow	95HPDup
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
2.8	2.8000000000000083	2.8	2.8
